epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.76338,2.38196,5.03908,1.56759,0.00083,0.07692,0.07539,0.02273,1.98409,4.45251,1.90375,4e-05,4e-05,4e-05
2,10.7111,1.94647,4.14005,1.40991,0.00083,0.07692,0.07539,0.02281,1.63747,4.2681,1.56264,9.802e-05,9.802e-05,9.802e-05
3,14.014,1.40571,3.8149,1.06246,0.0025,0.23077,0.03951,0.00465,1.51722,4.19186,1.39907,0.000153664,0.000153664,0.000153664
4,17.5288,1.51761,3.49363,1.02926,0.00583,0.53846,0.01645,0.00804,1.32538,3.97041,1.16873,0.000206932,0.000206932,0.000206932
5,21.5769,1.16639,2.88316,0.94374,0.0075,0.69231,0.01457,0.00777,1.08284,3.81941,1.01069,0.000257824,0.000257824,0.000257824
6,25.3507,1.29235,2.17752,0.89574,0.00667,0.61538,0.00954,0.006,1.07989,3.57713,1.11797,0.00030634,0.00030634,0.00030634
7,29.2894,1.10385,1.47772,0.87806,0.0075,0.69231,0.00963,0.00503,1.19288,3.43629,1.11778,0.00035248,0.00035248,0.00035248
8,32.6199,1.20611,1.73804,0.87764,0.00667,0.61538,0.22066,0.11308,1.28326,3.30018,1.11678,0.000396244,0.000396244,0.000396244
9,36.2143,1.26143,1.40902,0.89328,0.00667,0.61538,0.00716,0.00363,1.37888,3.38059,1.14494,0.000437632,0.000437632,0.000437632
10,39.9713,1.1958,1.43208,0.91447,0.00667,0.61538,0.00782,0.00371,1.21211,3.44642,1.08586,0.000476644,0.000476644,0.000476644
11,44.1348,1.18431,1.40231,0.95109,0.00667,0.61538,0.00785,0.00485,1.03641,3.37917,1.00732,0.00051328,0.00051328,0.00051328
12,47.8168,1.21876,1.56115,0.91187,0.00583,0.53846,0.0064,0.00459,1.03057,3.3756,0.98561,0.00054754,0.00054754,0.00054754
13,51.7042,1.16144,1.42208,0.89042,0.00667,0.61538,0.01041,0.00575,1.08632,3.38618,0.99325,0.000579424,0.000579424,0.000579424
14,55.6123,1.25372,1.7558,1.08659,0.00667,0.61538,0.01853,0.00997,1.21511,3.2485,1.07728,0.000608932,0.000608932,0.000608932
15,58.8734,1.18455,1.43635,0.96272,0.00667,0.61538,0.01853,0.00997,1.21511,3.2485,1.07728,0.000636064,0.000636064,0.000636064
16,62.81,0.98642,1.32883,0.9075,0.0075,0.69231,0.1987,0.14817,1.15301,3.06874,1.09225,0.00066082,0.00066082,0.00066082
17,67.4513,1.12967,1.23113,0.90279,0.00583,0.53846,0.27331,0.22461,1.1297,2.90869,1.10034,0.0006832,0.0006832,0.0006832
18,70.6386,1.05287,1.29664,0.92305,0.00583,0.53846,0.27331,0.22461,1.1297,2.90869,1.10034,0.000703204,0.000703204,0.000703204
19,74.989,1.02928,1.28071,0.86476,0.00583,0.53846,0.3327,0.22318,1.2599,2.88716,1.136,0.000720832,0.000720832,0.000720832
20,79.3285,1.15737,1.2249,0.88839,0.005,0.46154,0.29644,0.20271,1.29324,2.97252,1.14008,0.000736084,0.000736084,0.000736084
21,83.5509,1.14002,1.21407,0.89196,0.005,0.46154,0.29644,0.20271,1.29324,2.97252,1.14008,0.00074896,0.00074896,0.00074896
22,88.5357,1.07948,1.21254,0.88419,0.00667,0.61538,0.35734,0.25447,1.21731,2.85982,1.1193,0.00075946,0.00075946,0.00075946
23,92.3484,1.00736,1.04673,0.85618,0.00667,0.61538,0.35734,0.25447,1.21731,2.85982,1.1193,0.000767584,0.000767584,0.000767584
24,96.1872,0.97204,1.06418,0.87066,0.21409,0.46154,0.36147,0.25616,1.25047,2.64653,1.14708,0.000773332,0.000773332,0.000773332
25,99.8169,0.88912,1.09694,0.90527,0.21409,0.46154,0.36147,0.25616,1.25047,2.64653,1.14708,0.000776704,0.000776704,0.000776704
26,104.157,0.89858,1.03929,0.88259,0.43777,0.38462,0.29439,0.20406,1.14752,2.41127,1.13149,0.0007777,0.0007777,0.0007777
27,107.734,0.83515,0.97674,0.86204,0.43777,0.38462,0.29439,0.20406,1.14752,2.41127,1.13149,0.00077632,0.00077632,0.00077632
28,111.991,1.00922,1.08597,0.87576,0.49276,0.46154,0.3587,0.25795,1.0985,2.28743,1.1346,0.000772564,0.000772564,0.000772564
29,116.529,1.04554,1.04698,0.8511,0.49276,0.46154,0.3587,0.25795,1.0985,2.28743,1.1346,0.000766432,0.000766432,0.000766432
30,119.537,0.92411,1.03728,0.87604,0.49276,0.46154,0.3587,0.25795,1.0985,2.28743,1.1346,0.000757924,0.000757924,0.000757924
31,182.907,0.86013,0.90744,0.86684,0.67847,0.46154,0.3509,0.28486,1.18272,2.24504,1.29543,0.00074704,0.00074704,0.00074704
32,187.589,0.92328,1.25863,0.89769,0.67847,0.46154,0.3509,0.28486,1.18272,2.24504,1.29543,0.00073378,0.00073378,0.00073378
33,192.304,0.8662,1.13378,0.89281,0.74547,0.45179,0.35064,0.28675,1.16143,2.27453,1.27719,0.000718144,0.000718144,0.000718144
34,196.666,0.95322,0.97627,0.89078,0.74547,0.45179,0.35064,0.28675,1.16143,2.27453,1.27719,0.0006932,0.0006932,0.0006932
35,200.462,1.13262,1.00907,0.84499,0.74547,0.45179,0.35064,0.28675,1.16143,2.27453,1.27719,0.0006536,0.0006536,0.0006536
36,205.029,0.89197,1.10791,0.86242,0.74586,0.45263,0.35236,0.27714,1.12511,2.1625,1.23098,0.000614,0.000614,0.000614
37,208.583,0.87253,1.01924,0.87378,0.74586,0.45263,0.35236,0.27714,1.12511,2.1625,1.23098,0.0005744,0.0005744,0.0005744
38,212.171,0.82395,0.96893,0.85837,0.74586,0.45263,0.35236,0.27714,1.12511,2.1625,1.23098,0.0005348,0.0005348,0.0005348
39,215.925,0.92159,0.94653,0.81606,0.74236,0.44509,0.35216,0.26559,1.06813,1.87489,1.1693,0.0004952,0.0004952,0.0004952
